155,278,1
194,72,2
180,137,3
106,136,4
209,140,5
182,135,3
155,280,1
197,76,2
182,136,3
106.5,137,4
209,140,5
182,135,3
155,280,1
196,76,2
182,135,3
106,136,4
209,140,5
182,135,3
155,281,1
196,76,2
182,135,3
106,136,4
209,140,5
182,135,3
156,280,1
197,76,2
181,139,3
105,138,4
209,142,5
182,137,3
154,281,1
195,75,2
180,136,3
106,139,4
207,141,5
180,136,3
153,283.5,1
195,77,2
181,134,3
106,136,4
208,140,5
181,134,3
153,283,1
195,77,2
181,136,3
104,138,4
208,141,5
181,136,3
154,283,1
195,77,2
181,136,3
105,138,4
208,142,5
180,136,3
153,283,1
195,77,2
180,136,3
106,138,4
208,142,5
181,137,3
155,281,1
195,75,2
180,136,3
106,139,4
208,142,5
180,136,3
155,282,1
196,75.5,2
182,136,3
106,137,4
210,140,5
182,135,3
155,282,1
197,75,2
182,135,3
106.5,137,4
210,140,5
183,135,3
155,282,1
197,75.5,2
182,135,3
107,137,4
210,140,5
183,135,3
155,282,1
197,76,2
182,137,3
106,137,4
209,141,5
182,136,3
